,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка,category
139,"Мальчики и девочки, эта книга для вас! Детская энциклопедия",7105590,73,2204,595,Владис,5662,42,5,https://www.wildberries.ru/catalog/7105590/detail.aspx?targetUrl=BP,Детское творчество и досуг
140,Детская энциклопедия для умных дошколят. Книги для детей,10924178,73,2932,791,Владис,5662,73,5,https://www.wildberries.ru/catalog/10924178/detail.aspx?targetUrl=BP,Детское творчество и досуг
141,Стёртый,13746591,32,1357,922,"Издательство Манн, Иванов и Фербер",4508,4,5,https://www.wildberries.ru/catalog/13746591/detail.aspx?targetUrl=BP,Детское творчество и досуг
142,Книга с окошками развивающая Книги для детей и малышей,40118251,61,1559,608,Счастье внутри,53024,47,5,https://www.wildberries.ru/catalog/40118251/detail.aspx?targetUrl=BP,Детское творчество и досуг
143,Как жили на Руси,5899012,32,1125,765,"Издательство Манн, Иванов и Фербер",4508,4,5,https://www.wildberries.ru/catalog/5899012/detail.aspx?targetUrl=BP,Детское творчество и досуг
144,Динозавры - властелины планеты. Книги для детей,10924225,71,2880,835,Владис,5662,39,5,https://www.wildberries.ru/catalog/10924225/detail.aspx?targetUrl=BP,Детское творчество и досуг
145,Прописи для дошкольников. Комплект,63034767,69,2100,651,Станюк Т.Ю.,231422,0,0,https://www.wildberries.ru/catalog/63034767/detail.aspx?targetUrl=BP,Детское творчество и досуг
146,Детская энциклопедия в вопросах и ответах. Что? Когда?,10924119,71,2200,638,Владис,5662,28,5,https://www.wildberries.ru/catalog/10924119/detail.aspx?targetUrl=BP,Детское творчество и досуг
147,LEGO Сказки на ночь (+ набор LEGO из 70 элементов),16008708,51,3012,1475,Эксмо,4481,5,4,https://www.wildberries.ru/catalog/16008708/detail.aspx?targetUrl=BP,Детское творчество и досуг
148,"Книга ""Простая электроника для детей и взрослых""",40390543,18,1860,1525,Инженерка,207889,24,4,https://www.wildberries.ru/catalog/40390543/detail.aspx?targetUrl=BP,Детское творчество и досуг
149,Книга-игра. Секреты гномов (илл. Тони Вульфа),43395232,47,2626,1391,Эксмо,4481,2,3,https://www.wildberries.ru/catalog/43395232/detail.aspx?targetUrl=BP,Детское творчество и досуг
150,Тесты и творч. задания. Ответы. Комплект. Сольфеджио. Вып. 1,71624185,57,1597,686,Композитор,46799,0,0,https://www.wildberries.ru/catalog/71624185/detail.aspx?targetUrl=BP,Детское творчество и досуг
151,Лучшая энциклопедия для современных школьников,10924250,70,1944,583,Владис,5662,16,5,https://www.wildberries.ru/catalog/10924250/detail.aspx?targetUrl=BP,Детское творчество и досуг
152,Набор развивающих карточек,84054011,7,1529,1421,WeGrowGood,1207256,16,5,https://www.wildberries.ru/catalog/84054011/detail.aspx?targetUrl=BP,Детское творчество и досуг
153,Что? Как? Почему? Зачем? Большая детская энциклопедия,3938588,69,3088,957,Владис,5662,31,5,https://www.wildberries.ru/catalog/3938588/detail.aspx?targetUrl=BP,Детское творчество и досуг
154,Английский язык. Иллюстрированный учебник для дошколят,10924214,69,2008,622,Владис,5662,56,5,https://www.wildberries.ru/catalog/10924214/detail.aspx?targetUrl=BP,Детское творчество и досуг
155,Специально для девочек,8255217,40,1022,613,Издательство Махаон,6301,135,5,https://www.wildberries.ru/catalog/8255217/detail.aspx?targetUrl=BP,Детское творчество и досуг
156,Карточки развивающие Готовимся к школе,108446953,65,3019,1056,ЯиСемья,597541,0,0,https://www.wildberries.ru/catalog/108446953/detail.aspx?targetUrl=BP,Детское творчество и досуг
157,Годовой курс развивающих занятий для малышей от 2 до 3 лет,5860300,31,1332,919,Эксмо,4481,74,5,https://www.wildberries.ru/catalog/5860300/detail.aspx?targetUrl=BP,Детское творчество и досуг
158,Начинаю говорить Мои первые слова и картинки 50 карточек От…,57825933,70,2097,629,Издательство Робинс,8383,14,5,https://www.wildberries.ru/catalog/57825933/detail.aspx?targetUrl=BP,Детское творчество и досуг
159,"""Пластилин""+""Гимнастика 6-7 лет""",124186237,60,2825,1130,ИД НЕВА,219394,0,0,https://www.wildberries.ru/catalog/124186237/detail.aspx?targetUrl=BP,Детское творчество и досуг
160,Блокнот-тренажер Гимнастика для ума для детей 8-9 лет,124875861,60,1508,603,ИД НЕВА,219394,1,5,https://www.wildberries.ru/catalog/124875861/detail.aspx?targetUrl=BP,Детское творчество и досуг
161,Скоро-ние 10-16 л. + Карта тела 11-15 л,123376352,60,2825,1130,КАПИТАЛ,18716,0,0,https://www.wildberries.ru/catalog/123376352/detail.aspx?targetUrl=BP,Детское творчество и досуг
162,"""Гимнастика 6-7 л."" + ""Фитнес 6-7 л.""",123126729,60,2825,1130,Филипок и Ко,51143,0,0,https://www.wildberries.ru/catalog/123126729/detail.aspx?targetUrl=BP,Детское творчество и досуг
163,Скорочтение 10-16 л.+Гимнастика 10-12 л,124189178,60,2898,1159,ИД НЕВА,219394,1,5,https://www.wildberries.ru/catalog/124189178/detail.aspx?targetUrl=BP,Детское творчество и досуг
164,Сказки братьев Гримм. Виммельбух,28969256,30,1334,933,"Издательство Манн, Иванов и Фербер",4508,3,4,https://www.wildberries.ru/catalog/28969256/detail.aspx?targetUrl=BP,Детское творчество и досуг
165,Детская энциклопедия в вопросах и ответах. Книги для детей,12051015,71,2932,850,Владис,5662,73,5,https://www.wildberries.ru/catalog/12051015/detail.aspx?targetUrl=BP,Детское творчество и досуг
166,Финансовый ликбез для детей и родителей,124885932,44,1047,586,ИД НЕВА,219394,0,0,https://www.wildberries.ru/catalog/124885932/detail.aspx?targetUrl=BP,Детское творчество и досуг
167,Набор книги с пазлами для детей Машинки и Животные на ферме,40043845,58,1403,589,Malamalama,28039,49,5,https://www.wildberries.ru/catalog/40043845/detail.aspx?targetUrl=BP,Детское творчество и досуг
168,100 Игр. Логические игры для детей 4+,3710476,62,2112,802,Умница,3078,334,5,https://www.wildberries.ru/catalog/3710476/detail.aspx?targetUrl=BP,Детское творчество и досуг
169,Maangchi’s. Настоящая корейская кухня,40688753,39,2290,1396,"Издательство Манн, Иванов и Фербер",4508,5,5,https://www.wildberries.ru/catalog/40688753/detail.aspx?targetUrl=BP,Детское творчество и досуг
170,Тим и Дигги на каникулах,69178135,55,2145,965,Поляндрия,16786,1,5,https://www.wildberries.ru/catalog/69178135/detail.aspx?targetUrl=BP,Детское творчество и досуг
171,Дизайн привычных вещей,6328878,13,1703,1481,"Издательство Манн, Иванов и Фербер",4508,25,4,https://www.wildberries.ru/catalog/6328878/detail.aspx?targetUrl=BP,Детское творчество и досуг
172,"Развивающая игра для детей. Чтение, математика, английский",138004272,63,2105,778,Умнология,310474007,2,5,https://www.wildberries.ru/catalog/138004272/detail.aspx?targetUrl=BP,Детское творчество и досуг
